model,rmse,mae,r2
LinearRegression,14915.765420167163,4849.729220551166,0.09050287680087143
RandomForest,12230.157604662074,3781.8448501292805,0.3885311358593361
GBTRegressor,9183.005776876831,2910.0391493598117,0.6552693045228879
DecisionTree,11679.371990713917,3541.8430916978555,0.4423660296463764
