model,auc,accuracy,precision,recall,f1
LogisticRegression,0.6689162243102844,0.608,0.30623818525519847,0.6103993971363979,0.4078549848942598
GBTClassifier,0.7249342089455193,0.7393333333333333,0.4269870609981516,0.5222305953278071,0.46983050847457625
RandomForest,0.7206326133017991,0.746,0.4331296673455533,0.48078372268274305,0.45571428571428574
SVM,0.6672998906156694,0.6223333333333333,0.31479289940828403,0.6013564431047476,0.41325737959606423
MLP,0.7152696687394806,0.6798333333333333,0.3601694915254237,0.5764883195177091,0.4433497536945813
